date,year,day_of_week,price_close,price_return_1d,price_return_3d,price_return_5d,price_return_10d,price_return_20d,price_log_return_1d,price_dist_high_10d,price_dist_low_10d,price_dist_high_20d,price_dist_low_20d,tech_rsi_14,tech_sma_5,tech_sma_5_dist,tech_sma_20,tech_sma_20_dist,tech_ema_20,tech_ema_20_dist,tech_bollinger_pos,tech_bollinger_bw,tech_bollinger_squeeze,tech_macd,tech_macd_signal,tech_macd_hist,tech_adx,tech_roc_5,tech_vol_5d,tech_roc_10,tech_vol_10d,tech_roc_20,tech_vol_20d,tech_streak,tech_momentum_quality,vol_of_vol_20d,vol_regime,label_return_1d,label_dir_1d,label_return_3d,label_dir_3d,label_return_5d,label_dir_5d,label_flat_1d,macro_vix,macro_vix_change_1d,macro_vix_ma5,macro_yield_spread,macro_yield_spread_change,macro_credit_spread,macro_credit_spread_change,macro_dxy_change,mkt_dxy_return,mkt_equity_return,mkt_oil_return,mkt_bitcoin_return,mkt_gold_vs_equity,mkt_gold_vs_bonds,mkt_gold_equity_beta_20d
2020-01-01,2020,Wednesday,1520.46,-0.0860839680109304,0.4379619904480769,1.432297747149747,3.0687572448294675,3.207282057547811,-0.0008612104153644,-0.0860839680109304,2.904828295680661,-0.0860839680109304,4.109007497689077,73.35392362142433,1515.91,0.3001497450376256,1486.0645,2.3145361456383684,1493.038957251344,1.8365925828980112,0.922027838569832,5.484321018921082,0.0,12.10302245680714,7.120325572227657,4.982696884579482,28.92519375823666,1.432297747149747,0.2720780919449513,3.0687572448294675,0.3560879681764294,3.207282057547811,0.452283803531662,-1.0,2.7252430149495983,0.0250853309608349,0.0,0.3281901529800235,UP,2.906357286610639,UP,2.53344382621048,UP,0.0,13.78,,,0.34,,1.98,,,,,,,,,
2020-01-02,2020,Thursday,1525.45,0.3281901529800235,0.6578773721857223,1.1564910047015653,3.160165548582561,3.1441225193549416,0.0032765278450341,0.0,3.242551809088079,0.0,4.450683008661716,75.19514941751126,1519.398,0.3983156486977224,1488.3895,2.489973222735053,1496.1257232274063,1.9600142098576967,0.9192256533256854,5.939458148570544,0.0,13.109369988775825,8.31813445553729,4.791235533238535,31.30689544420997,1.1564910047015653,0.2137476364804588,3.160165548582561,0.3554218626530029,3.1441225193549416,0.4508409572495634,1.0,2.811678730768688,0.0263087255461406,0.0,1.4959520141597515,UP,2.9905929397882502,UP,1.5772395030974495,UP,0.0,12.47,-1.3099999999999987,,0.3,-0.040000000000000036,1.98,0.0,0.2664189972878539,0.2664189972878539,0.8378781594537532,0.04906771344455052,-3.196261109066778,-0.5096880064737297,0.2881901529800235,
2020-01-03,2020,Friday,1548.27,1.4959520141597515,1.7413932460227155,2.275024276173676,4.787010842346073,6.0132151049334,0.014848730064563,0.0,4.4054378464401855,0.0,5.963152059350918,81.49318644900234,1526.286,1.4403591463198806,1492.7805,3.7171908395105646,1501.0918448247965,3.142922622480171,1.059036431685331,6.64928192301228,0.0,15.568823240446136,9.76827221251906,5.800551027927076,34.15957236355547,2.275024276173676,0.6151657996599379,4.787010842346073,0.4872033806938831,6.0132151049334,0.4168476717940542,2.0,3.107092037041125,0.029419150917899,0.0,1.0579550078474664,UP,0.6917398128233554,UP,0.7537445019279554,UP,0.0,14.02,1.549999999999999,,0.27,-0.02999999999999997,1.99,0.010000000000000009,0.010611048536834922,0.010611048536834922,-0.7059870773669763,2.9916625796959195,5.62317404870547,2.201939091526728,1.4659520141597515,
2020-01-06,2020,Monday,1564.65,1.0579550078474664,2.906357286610639,3.2445165888035588,5.510000404601678,7.084194533035837,0.0105239782449225,0.0,4.385157313265542,0.0,6.894714189092266,84.52955416337478,1536.12,1.857276775251937,1497.956,4.452333713406809,1507.14500246053,3.8154920359745543,1.0870288871504514,7.584522347817131,0.0,18.624989483316767,11.539615666678602,7.085373816638166,37.38436246113309,3.2445165888035588,0.6289557941989605,5.510000404601678,0.518915597149465,7.084194533035837,0.4457240519941651,3.0,3.357800629371308,0.0300374169309414,0.0,0.4103154060013381,UP,-0.9676285431246656,DOWN,-0.8992426421244426,DOWN,0.0,13.85,-0.16999999999999993,,0.27,0.0,2.02,0.030000000000000027,-0.026959639680068648,-0.026959639680068648,0.35333941295578875,0.4285714285714226,5.97011262974505,0.7046155948916777,1.0579550078474664,
2020-01-07,2020,Tuesday,1571.07,0.4103154060013381,2.9905929397882502,3.239648567129061,4.813465695300612,7.3333196696111935,0.0040947590794906,0.0,4.808571104543713,0.0,7.032782864617393,85.53151681456566,1545.98,1.6229187958447078,1503.323,4.506483303987241,1513.2330974642894,3.822074909187978,1.0366297035466527,8.397752256729968,0.0,21.319307884616364,13.495554110266156,7.823753774350209,40.37881040888374,3.239648567129061,0.6293867155576757,4.813465695300612,0.4836683872851951,7.3333196696111935,0.4441861065630177,4.0,3.147097357690365,0.0301737397227543,0.0,-0.7695392312245697,DOWN,-0.7084343791174064,DOWN,-1.8267804744537155,DOWN,0.0,13.79,-0.0600000000000005,13.581999999999999,0.29,0.019999999999999962,2.03,0.009999999999999787,0.1670208610795365,0.1670208610795365,-0.28032085956850583,-0.9009009009009028,5.100289702938721,0.6906362655698439,0.43031540600133805,
2020-01-08,2020,Wednesday,1558.98,-0.7695392312245697,0.6917398128233554,2.53344382621048,4.002028032208349,5.974481506909846,-0.0077251546304622,-0.7695392312245697,3.379951061332487,-0.7695392312245697,6.20912361020276,75.60139716560981,1553.684,0.3408672548600666,1507.7175000000002,3.400006964169333,1517.5899453248333,2.727354302964069,0.8892209751053503,8.735415565024617,0.0,22.22284158495495,15.241011605203916,6.9818299797510335,43.59652705660351,2.53344382621048,0.8591305745951905,4.002028032208349,0.6118205724721762,5.974481506909846,0.5084310230250559,-1.0,2.068502500738583,0.0295173773448385,0.0,-0.6074484598904473,DOWN,-0.5388138398183528,DOWN,-0.4605575440352116,DOWN,0.0,13.45,-0.33999999999999986,13.516,0.29,0.0,2.05,0.020000000000000018,-0.012939902403608095,-0.012939902403608095,0.49024150649641385,-4.864433811802238,-1.6508056964852913,-1.2597807377209835,-0.7695392312245697,
2020-01-09,2020,Thursday,1549.51,-0.6074484598904473,-0.9676285431246656,1.5772395030974495,2.7519711407749226,5.563957924569452,-0.0060930093374,-1.3723131369066888,2.3569357193344187,-1.3723131369066888,5.080021700800219,68.8578255627547,1558.496,-0.5765815247520623,1511.801,2.494309766960079,1520.629950531992,1.899216141172566,0.7875520738734372,8.67428891525893,0.0,21.92204500732919,16.57721828562897,5.344826721700219,45.37773046728181,1.5772395030974495,0.9978503642226207,2.7519711407749226,0.6818690546670138,5.563957924569452,0.53556753903546,-2.0,1.276270979059232,0.0317185584327911,0.0,0.6731160173216066,UP,-0.4607908306496933,DOWN,0.0851882207923759,FLAT,0.0,12.54,-0.9100000000000001,13.529999999999998,0.27,-0.019999999999999962,2.03,-0.020000000000000018,0.08711679034991704,0.08711679034991704,0.6655292725288531,-0.1508801341156718,-2.7541729516072033,-1.2729777324193003,-0.6274484598904473,
2020-01-10,2020,Friday,1559.94,0.6731160173216066,-0.7084343791174064,0.7537445019279554,3.045916648500824,5.739288401445175,0.0067086070637391,-0.7084343791174064,2.933723968643598,-0.7084343791174064,5.787332157873326,71.83738555333363,1560.83,-0.05702094398492,1516.0345,2.8960752542241064,1524.3737647670405,2.3331702535824617,0.8297999152697303,8.781309879523505,0.0,22.26857709030241,17.71549004656366,4.553087043738756,47.031705062911655,0.7537445019279554,0.8039023381082739,3.045916648500824,0.6930659428766441,5.739288401445175,0.5406781274411298,1.0,1.389771676315577,0.0340454413784551,0.0,-0.6000230778106963,DOWN,-0.5218149416003293,DOWN,-0.132697411438909,FLAT,0.0,12.56,0.02000000000000135,13.238,0.27,0.0,1.99,-0.039999999999999813,-0.14353514745328866,-0.14353514745328866,-0.2855223379240823,-0.9066487575554061,4.736631950221293,0.958638355245689,0.6731160173216066,
2020-01-13,2020,Monday,1550.58,-0.6000230778106963,-0.5388138398183528,-0.8992426421244426,2.3160978699817925,5.15258375152583,-0.0060183044967237,-1.304206687162257,1.9809794404324956,-1.304206687162257,5.110528135358816,65.75712434156705,1558.016,-0.4772736608609995,1519.8335000000002,2.0230176529205224,1526.869596693989,1.552876772014411,0.7355439686561099,8.588704964354626,0.0,21.53963696054848,18.480319429360623,3.0593175311878547,48.60652672262081,-0.8992426421244426,0.6676374483059213,2.3160978699817925,0.7490816359810124,5.15258375152583,0.5716266029773712,-1.0,0.9777498474402117,0.0388957388313403,0.0,-0.5294792916199165,DOWN,0.0161229991358036,FLAT,0.6655574043261447,UP,0.0,12.32,-0.2400000000000002,12.931999999999999,0.27,0.0,1.99,0.0,-0.029113295911886716,-0.029113295911886716,0.6976281256220629,-1.4401897661809548,-0.9075146415702173,-1.2976512034327592,-0.6000230778106963,
2020-01-14,2020,Tuesday,1542.37,-0.5294792916199165,-0.4607908306496933,-1.8267804744537155,1.3536868252101095,4.470424080684388,-0.0053088600090791,-1.8267804744537155,1.4410112729042357,-1.8267804744537155,4.55398965556979,60.88899076395086,1552.2759999999998,-0.6381597087115942,1523.1335,1.262955610916583,1528.345825580276,0.9176047845322888,0.6535600891499179,8.224504283033953,0.0,20.068135298085508,18.7978826031056,1.2702526949799091,49.02358593828707,-1.8267804744537155,0.5878761285930282,1.3536868252101095,0.782216523551478,4.470424080684388,0.5974498133009418,-2.0,0.5472568626894355,0.0454926003601179,0.0,0.6113967465653625,UP,1.0049469323184512,UP,0.9641007021661484,UP,0.0,12.39,0.07000000000000028,12.652000000000001,0.24,-0.030000000000000027,1.99,0.0,-0.008953858939342307,-0.008953858939342307,-0.15145386587512855,0.2922468626439745,7.985084381265706,-0.3780254257447879,-0.5594792916199165,
